205,55,16,280,,,,22,5.5,7.5,,,,24.9,,,
205,45,17,280,,,,20,6.5,7.5,,,,24.3,,,
215,40,17,280,,,,20,7,8.5,,,,23.8,,,
215,45,17,280,,,,21,7,8,,,,24.6,,,
215,50,17,280,,,,24,6,7.5,,,,25.5,,,
225,45,17,280,,,,24,7,8.5,,,,25,,,
235,45,17,280,,,,25,7.5,9,,,,25.4,,,
245,40,17,280,,,,25,8,9.5,,,,24.7,,,
255,40,17,280,,,,26,8.5,10,,,,25,,,
225,35,18,280,,,,20,7.5,9,,,,24.2,,,
225,40,18,280,,,,24,7.5,9,,,,25.1,,,
225,45,18,280,,,,25,7,8.5,,,,25.9,,,
235,40,18,280,,,,25,8,9.5,,,,25.4,,,
235,45,18,280,,,,27,7.5,9,,,,26.3,,,
245,35,18,280,,,,25,8,9.5,,,,24.8,,,
245,40,18,280,,,,27,8,9.5,,,,25.7,,,
245,45,18,280,,,,28,7.5,9,,,,26.7,,,
255,35,18,280,,,,27,8.5,10,,,,25,,,
255,40,18,280,,,,28,8.5,10,,,,26,,,
255,45,18,280,,,,29,8,9.5,,,,27,,,
265,35,18,280,,,,28,9,10.5,,,,25.3,,,
265,40,18,280,,,,30,9,10.5,,,,26.3,,,
275,35,18,280,,,,29,9,11,,,,25.6,,,
285,35,18,280,,,,31,9.5,11,,,,25.9,,,
215,35,19,280,,,,21,7,8.5,,,,24.9,,,
225,35,19,280,,,,24,7.5,9,,,,25.2,,,
235,35,19,280,,,,26,8,9.5,,,,25.5,,,
255,35,19,280,,,,28,8.5,10,,,,26,,,
295,30,19,280,,,,31,10,11,,,,26,,,
245,40,20,280,,,,29,8,9.5,,,,27.7,,,
