205,40,17,360,,,,21,7,8,,,,23.6,,,
205,50,17,360,,,,21,5.5,7.5,,,,25.3,,,
215,45,17,360,,,,22,7,7,,,,24.8,,,
215,50,17,360,,,,23,6,7.5,,,,25.6,,,
225,45,17,360,,,,22,7,8.5,,,,25,,,
225,50,17,360,,,,24,6,8,,,,26.1,,,
235,45,17,360,,,,24,7.5,9,,,,25.5,,,
235,50,17,360,,,,28,6.5,8.5,,,,26.3,,,
235,55,17,360,,,,28,6.5,8.5,,,,27.2,,,
245,40,17,360,,,,24,8,9.5,,,,24.8,,,
245,45,17,360,,,,25,7.5,9,,,,25.8,,,
275,40,17,360,,,,29,9,11,,,,25.7,,,
225,40,18,360,,,,23,7.5,9,,,,25.2,,,
235,40,18,360,,,,24,8,9.5,,,,25.5,,,
245,40,18,360,,,,25,8,9.5,,,,25.8,,,
